"";"codeGeo";"libgeo_cp"
"175";"92350";"LE PLESSIS ROBINSON"
"176";"9A022";NA
"177";"9A050";NA
"178";"94290";"VILLENEUVE LE ROI"
"179";"94230";"CACHAN"
"180";"95550";"BESSANCOURT"
"181";"91200";"ATHIS MONS"
"182";"93270";"SEVRAN"
"183";"94100";"ST MAUR DES FOSSES"
"184";"62630";"ETAPLES"
"185";"77160";"PROVINS"
"186";"77183";"CROISSY BEAUBOURG"
"187";"31540";"ST FELIX LAURAGAIS"
"188";"78680";"EPONE"
"189";"93240";"STAINS"
"190";"94120";"FONTENAY SOUS BOIS"
"191";"92210";"ST CLOUD"
"192";"94240";"L HAY LES ROSES"
"193";"99501";NA
"194";"92260";"FONTENAY AUX ROSES"
"195";"9CC05";NA
"196";"28800";"BONNEVAL"
"197";"92310";"SEVRES"
"198";"91860";"EPINAY SOUS SENART"
"199";"78340";"LES CLAYES SOUS BOIS"
"200";"77590";"BOIS LE ROI"
"201";"89000";"AUXERRE"
"202";"95150";"TAVERNY"
"203";"57450";"FAREBERSVILLER"
"204";"93320";"LES PAVILLONS SOUS BOIS"
"205";"91490";"MILLY LA FORET"
"206";"99345";NA
"207";"27C09";"NONANCOURT/ILLIERS L EVEQUE"
"208";"72190";"COULAINES"
"209";"95110";"SANNOIS"
"210";"93110";"ROSNY SOUS BOIS"
"211";"13500";"MARTIGUES"
"212";"77330";"OZOIR LA FERRIERE"
"213";"91160";"LONGJUMEAU"
"214";"27000";NA
"215";"21120";"IS SUR TILLE"
"216";"77360";"VAIRES SUR MARNE"
"217";"10340";"LES RICEYS"
"218";"93600";"AULNAY SOUS BOIS"
"219";"9C051";NA
"220";"93700";"DRANCY"
"221";"91560";"CROSNE"
"222";"50810";"ST JEAN DES BAISANTS"
"223";"45200";"MONTARGIS"
"224";"95470";"FOSSES"
"225";"92999";NA
"226";"77340";"PONTAULT COMBAULT"
"227";"91420";"MORANGIS"
"228";"78390";"BOIS D ARCY"
"229";"78330";"FONTENAY LE FLEURY"
"230";"94270";"LE KREMLIN BICETRE"
"231";"91170";"VIRY CHATILLON"
"232";"94130";"NOGENT SUR MARNE"
"233";"95620";"PARMAIN"
"234";"9B000";NA
"235";"95400";"VILLIERS LE BEL"
"236";"77C01";"MITRY MORY/LE MESNIL AMELOT"
"237";"78200";"MANTES LA JOLIE"
"238";"78760";"JOUARS PONTCHARTRAIN"
"239";"95120";"ERMONT"
"240";"93340";"LE RAINCY"
"241";"60660";"CIRES LES MELLO"
"242";"77820";"LE CHATELET EN BRIE"
"243";"77500";"CHELLES"
"244";"78290";"CROISSY SUR SEINE"
"245";"95130";"FRANCONVILLE"
"246";"92250";"LA GARENNE COLOMBES"
"247";"77230";"DAMMARTIN EN GOELE"
"248";"77540";"ROZAY EN BRIE"
"249";"45230";"CHATILLON COLIGNY"
"250";"80310";"PICQUIGNY"
"251";"92800";"PUTEAUX"
"252";"95390";"ST PRIX"
"253";"77510";"REBAIS"
"254";"78130";"LES MUREAUX"
"255";"78420";"CARRIERES SUR SEINE"
"256";"77270";"VILLEPARISIS"
"257";"38000";"GRENOBLE"
"258";"93310";"LE PRE ST GERVAIS"
"259";"77140";"NEMOURS"
"260";"78210";"ST CYR L ECOLE"
"261";"94310";"ORLY"
"262";"78730";"ST ARNOULT EN YVELINES"
"263";"27C10";"HEUDICOURT/ETREPAGNY"
"264";"93120";"LA COURNEUVE"
"265";"49300";"CHOLET"
"266";"93380";"PIERREFITTE SUR SEINE"
"267";"89100";"SENS"
"268";"95340";"PERSAN"
"269";"87920";"CONDAT SUR VIENNE"
"270";"28310";"TOURY"
"271";"91250";"ST GERMAIN LES CORBEIL"
"272";"77570";"CHATEAU LANDON"
"273";"78300";"POISSY"
"274";"78410";"AUBERGENVILLE"
"275";"77240";"CESSON"
"276";"91150";"ETAMPES"
"277";"77190";"DAMMARIE LES LYS"
"278";"89500";"VILLENEUVE SUR YONNE"
"279";"27270";"BROGLIE"
"280";"77170";"BRIE COMTE ROBERT"
"281";"91380";"CHILLY MAZARIN"
"282";"77515";"POMMEUSE"
"283";"93440";"DUGNY"
"284";"18000";"BOURGES"
"285";"22510";"BREHAND"
"286";"28190";"COURVILLE SUR EURE"
"287";"37300";"JOUE LES TOURS"
"288";"93330";"NEUILLY SUR MARNE"
"289";"93450";"L ILE ST DENIS"
